Exclusion report for column 2
==================================================
Symbol: AADEX, Reason: Symbol AADEX dropped price, min and avg volume.
Symbol: FWMIX, Reason: Symbol FWMIX dropped price, min and avg volume.
Symbol: FWRLX, Reason: Symbol FWRLX dropped price, min and avg volume.
Symbol: FZADX, Reason: Symbol FZADX dropped price, min and avg volume.
Symbol: FZTKX, Reason: Symbol FZTKX dropped price, min and avg volume.
Symbol: GABBX, Reason: Symbol GABBX dropped price, min and avg volume.
Symbol: GABUX, Reason: Symbol GABUX dropped price, min and avg volume.
Symbol: GAIFX, Reason: Symbol GAIFX dropped price, min and avg volume.
Symbol: GBLEX, Reason: Symbol GBLEX dropped price, min and avg volume.
Symbol: GCIFX, Reason: Symbol GCIFX dropped price, min and avg volume.
Symbol: GCINX, Reason: Symbol GCINX dropped price, min and avg volume.
Symbol: GCPAX, Reason: Symbol GCPAX dropped price, min and avg volume.
Symbol: GCPYX, Reason: Symbol GCPYX dropped price, min and avg volume.
Symbol: GEMNX, Reason: Symbol GEMNX dropped price, min and avg volume.
Symbol: GERIX, Reason: Symbol GERIX dropped price, min and avg volume.
Symbol: GESIX, Reason: Symbol GESIX dropped price, min and avg volume.
Symbol: GESOX, Reason: Symbol GESOX dropped price, min and avg volume.
Symbol: GIGRX, Reason: Symbol GIGRX dropped price, min and avg volume.
Symbol: GIJPX, Reason: Symbol GIJPX dropped price, min and avg volume.
Symbol: GINDX, Reason: Symbol GINDX dropped price, min and avg volume.
Symbol: GIYAX, Reason: Symbol GIYAX dropped price, min and avg volume.
Symbol: GLFOX, Reason: Symbol GLFOX dropped price, min and avg volume.
Symbol: GLIFX, Reason: Symbol GLIFX dropped price, min and avg volume.
Symbol: GNNDX, Reason: Symbol GNNDX dropped price, min and avg volume.
Symbol: GOLDX, Reason: Symbol GOLDX dropped price, min and avg volume.
Symbol: GSHIX, Reason: Symbol GSHIX dropped price, min and avg volume.
Symbol: GTAPX, Reason: Symbol GTAPX dropped price, min and avg volume.
Symbol: GTCEX, Reason: Symbol GTCEX dropped price, min and avg volume.
Symbol: GTCSX, Reason: Symbol GTCSX dropped price, min and avg volume.
Symbol: GTLIX, Reason: Symbol GTLIX dropped price, min and avg volume.
Symbol: GTLLX, Reason: Symbol GTLLX dropped price, min and avg volume.
Symbol: GTLOX, Reason: Symbol GTLOX dropped price, min and avg volume.
Symbol: GTRFX, Reason: Symbol GTRFX dropped price, min and avg volume.
Symbol: GTSCX, Reason: Symbol GTSCX dropped price, min and avg volume.
Symbol: GTSOX, Reason: Symbol GTSOX dropped price, min and avg volume.
Symbol: GTTMX, Reason: Symbol GTTMX dropped price, min and avg volume.
Symbol: GVALX, Reason: Symbol GVALX dropped price, min and avg volume.
Symbol: GWILX, Reason: Symbol GWILX dropped price, min and avg volume.
Symbol: GWPEX, Reason: Symbol GWPEX dropped price, min and avg volume.
Symbol: GWPFX, Reason: Symbol GWPFX dropped price, min and avg volume.
Symbol: HBLFX, Reason: Symbol HBLFX dropped price, min and avg volume.
Symbol: HDGFX, Reason: Symbol HDGFX dropped price, min and avg volume.
Symbol: HFCVX, Reason: Symbol HFCVX dropped price, min and avg volume.
Symbol: HFLGX, Reason: Symbol HFLGX dropped price, min and avg volume.
Symbol: HFMDX, Reason: Symbol HFMDX dropped price, min and avg volume.
Symbol: HGHYX, Reason: Symbol HGHYX dropped price, min and avg volume.
Symbol: HICSX, Reason: Symbol HICSX dropped price, min and avg volume.
Symbol: HIGJX, Reason: Symbol HIGJX dropped price, min and avg volume.
Symbol: HILDX, Reason: Symbol HILDX dropped price, min and avg volume.
Symbol: HIMFX, Reason: Symbol HIMFX dropped price, min and avg volume.
Symbol: HLEMX, Reason: Symbol HLEMX dropped price, min and avg volume.
Symbol: HLMEX, Reason: Symbol HLMEX dropped price, min and avg volume.
Symbol: HLMGX, Reason: Symbol HLMGX dropped price, min and avg volume.
Symbol: HLMIX, Reason: Symbol HLMIX dropped price, min and avg volume.
Symbol: HLMNX, Reason: Symbol HLMNX dropped price, min and avg volume.
Symbol: HLMVX, Reason: Symbol HLMVX dropped price, min and avg volume.
Symbol: HNCAX, Reason: Symbol HNCAX dropped price, min and avg volume.
Symbol: HRSMX, Reason: Symbol HRSMX dropped price, min and avg volume.
Symbol: HSTIX, Reason: Symbol HSTIX dropped price, min and avg volume.
Symbol: HSWFX, Reason: Symbol HSWFX dropped price, min and avg volume.
Symbol: HTECX, Reason: Symbol HTECX dropped price, min and avg volume.
Symbol: IALAX, Reason: Symbol IALAX dropped price, min and avg volume.
Symbol: IBFFX, Reason: Symbol IBFFX dropped price, min and avg volume.
Symbol: IDITX, Reason: Symbol IDITX dropped price, min and avg volume.
Symbol: IDXQX, Reason: Symbol IDXQX dropped price, min and avg volume.
Symbol: IEYAX, Reason: Symbol IEYAX dropped price, min and avg volume.
Symbol: IGIFX, Reason: Symbol IGIFX dropped price, min and avg volume.
Symbol: INPFX, Reason: Symbol INPFX dropped price, min and avg volume.
Symbol: IVOYX, Reason: Symbol IVOYX dropped price, min and avg volume.
Symbol: JAMCX, Reason: Symbol JAMCX dropped price, min and avg volume.
Symbol: JANWX, Reason: Symbol JANWX dropped price, min and avg volume.
Symbol: JASBX, Reason: Symbol JASBX dropped price, min and avg volume.
Symbol: JBCAX, Reason: Symbol JBCAX dropped price, min and avg volume.
Symbol: JEASX, Reason: Symbol JEASX dropped price, min and avg volume.
Symbol: JECTX, Reason: Symbol JECTX dropped price, min and avg volume.
Symbol: JEFAX, Reason: Symbol JEFAX dropped price, min and avg volume.
Symbol: JEPAX, Reason: Symbol JEPAX dropped price, min and avg volume.
Symbol: JEPIX, Reason: Symbol JEPIX dropped price, min and avg volume.
Symbol: JESSX, Reason: Symbol JESSX dropped price, min and avg volume.
Symbol: JETNX, Reason: Symbol JETNX dropped price, min and avg volume.
Symbol: JETTX, Reason: Symbol JETTX dropped price, min and avg volume.
Symbol: JEUIX, Reason: Symbol JEUIX dropped price, min and avg volume.
Symbol: JFIVX, Reason: Symbol JFIVX dropped price, min and avg volume.
Symbol: JFRDX, Reason: Symbol JFRDX dropped price, min and avg volume.
Symbol: JIDVX, Reason: Symbol JIDVX dropped price, min and avg volume.
Symbol: JMGFX, Reason: Symbol JMGFX dropped price, min and avg volume.
Symbol: JMGMX, Reason: Symbol JMGMX dropped price, min and avg volume.
Symbol: JNDVX, Reason: Symbol JNDVX dropped price, min and avg volume.
Symbol: JOBYX, Reason: Symbol JOBYX dropped price, min and avg volume.
Symbol: JPPEX, Reason: Symbol JPPEX dropped price, min and avg volume.
Symbol: JSAYX, Reason: Symbol JSAYX dropped price, min and avg volume.
Symbol: JSEAX, Reason: Symbol JSEAX dropped price, min and avg volume.
Symbol: JSHNX, Reason: Symbol JSHNX dropped price, min and avg volume.
Symbol: JSOAX, Reason: Symbol JSOAX dropped price, min and avg volume.
Symbol: JVMAX, Reason: Symbol JVMAX dropped price, min and avg volume.
Symbol: JVMIX, Reason: Symbol JVMIX dropped price, min and avg volume.
Symbol: KCOPX, Reason: Symbol KCOPX dropped price, min and avg volume.
Symbol: KSCOX, Reason: Symbol KSCOX dropped price, min and avg volume.
Symbol: KTCIX, Reason: Symbol KTCIX dropped price, min and avg volume.
Symbol: KTXIX, Reason: Symbol KTXIX dropped price, min and avg volume.
Symbol: LBHIX, Reason: Symbol LBHIX dropped price, min and avg volume.
Symbol: LBNOX, Reason: Symbol LBNOX dropped price, min and avg volume.
Symbol: LCAOX, Reason: Symbol LCAOX dropped price, min and avg volume.
Symbol: LCGNX, Reason: Symbol LCGNX dropped price, min and avg volume.
Symbol: LCGRX, Reason: Symbol LCGRX dropped price, min and avg volume.
Symbol: LDMOX, Reason: Symbol LDMOX dropped price, min and avg volume.
Symbol: LEAOX, Reason: Symbol LEAOX dropped price, min and avg volume.
Symbol: LEOOX, Reason: Symbol LEOOX dropped price, min and avg volume.
Symbol: LEVIX, Reason: Symbol LEVIX dropped price, min and avg volume.
Symbol: LEVOX, Reason: Symbol LEVOX dropped price, min and avg volume.
Symbol: LISIX, Reason: Symbol LISIX dropped price, min and avg volume.
Symbol: LISOX, Reason: Symbol LISOX dropped price, min and avg volume.
Symbol: LLDYX, Reason: Symbol LLDYX dropped price, min and avg volume.
Symbol: LMGNX, Reason: Symbol LMGNX dropped price, min and avg volume.
Symbol: LOLDX, Reason: Symbol LOLDX dropped price, min and avg volume.
Symbol: LOMAX, Reason: Symbol LOMAX dropped price, min and avg volume.
Symbol: LPDAX, Reason: Symbol LPDAX dropped price, min and avg volume.
Symbol: LTXFX, Reason: Symbol LTXFX dropped price, min and avg volume.
Symbol: LZCOX, Reason: Symbol LZCOX dropped price, min and avg volume.
Symbol: LZESX, Reason: Symbol LZESX dropped price, min and avg volume.
Symbol: LZFOX, Reason: Symbol LZFOX dropped price, min and avg volume.
Symbol: LZHOX, Reason: Symbol LZHOX dropped price, min and avg volume.
Symbol: LZIOX, Reason: Symbol LZIOX dropped price, min and avg volume.
Symbol: LZOEX, Reason: Symbol LZOEX dropped price, min and avg volume.
Symbol: LZSMX, Reason: Symbol LZSMX dropped price, min and avg volume.
Symbol: LZUOX, Reason: Symbol LZUOX dropped price, min and avg volume.
Symbol: MADCX, Reason: Symbol MADCX dropped price, min and avg volume.
Symbol: MAGCX, Reason: Symbol MAGCX dropped price, min and avg volume.
Symbol: MAPPX, Reason: Symbol MAPPX dropped price, min and avg volume.
Symbol: MDDCX, Reason: Symbol MDDCX dropped price, min and avg volume.
Symbol: MDFSX, Reason: Symbol MDFSX dropped price, min and avg volume.
Symbol: MDXBX, Reason: Symbol MDXBX dropped price, min and avg volume.
Symbol: MEGMX, Reason: Symbol MEGMX dropped price, min and avg volume.
Symbol: MEMJX, Reason: Symbol MEMJX dropped price, min and avg volume.
Symbol: MFAEX, Reason: Symbol MFAEX dropped price, min and avg volume.
Symbol: MFAIX, Reason: Symbol MFAIX dropped price, min and avg volume.
Symbol: MFAPX, Reason: Symbol MFAPX dropped price, min and avg volume.
Symbol: MFEJX, Reason: Symbol MFEJX dropped price, min and avg volume.
Symbol: MFEKX, Reason: Symbol MFEKX dropped price, min and avg volume.
Symbol: MFMPX, Reason: Symbol MFMPX dropped price, min and avg volume.
Symbol: MFVZX, Reason: Symbol MFVZX dropped price, min and avg volume.
Symbol: MGGIX, Reason: Symbol MGGIX dropped price, min and avg volume.
Symbol: MGGPX, Reason: Symbol MGGPX dropped price, min and avg volume.
Symbol: MGQIX, Reason: Symbol MGQIX dropped price, min and avg volume.
Symbol: MIAPX, Reason: Symbol MIAPX dropped price, min and avg volume.
Symbol: MICFX, Reason: Symbol MICFX dropped price, min and avg volume.
Symbol: MIGIX, Reason: Symbol MIGIX dropped price, min and avg volume.
Symbol: MIGPX, Reason: Symbol MIGPX dropped price, min and avg volume.
Symbol: MINJX, Reason: Symbol MINJX dropped price, min and avg volume.
Symbol: MIOFX, Reason: Symbol MIOFX dropped price, min and avg volume.
Symbol: MIOIX, Reason: Symbol MIOIX dropped price, min and avg volume.
Symbol: MIOPX, Reason: Symbol MIOPX dropped price, min and avg volume.
Symbol: MIQBX, Reason: Symbol MIQBX dropped price, min and avg volume.
Symbol: MISAX, Reason: Symbol MISAX dropped price, min and avg volume.
Symbol: MISFX, Reason: Symbol MISFX dropped price, min and avg volume.
Symbol: MITEX, Reason: Symbol MITEX dropped price, min and avg volume.
Symbol: MKDCX, Reason: Symbol MKDCX dropped price, min and avg volume.
Symbol: MKDVX, Reason: Symbol MKDVX dropped price, min and avg volume.
Symbol: MKLOX, Reason: Symbol MKLOX dropped price, min and avg volume.
Symbol: MMHEX, Reason: Symbol MMHEX dropped price, min and avg volume.
Symbol: MNBAX, Reason: Symbol MNBAX dropped price, min and avg volume.
Symbol: MNDFX, Reason: Symbol MNDFX dropped price, min and avg volume.
Symbol: MNHIX, Reason: Symbol MNHIX dropped price, min and avg volume.
Symbol: MNHYX, Reason: Symbol MNHYX dropped price, min and avg volume.
Symbol: MNOSX, Reason: Symbol MNOSX dropped price, min and avg volume.
Symbol: MPAIX, Reason: Symbol MPAIX dropped price, min and avg volume.
Symbol: MPBAX, Reason: Symbol MPBAX dropped price, min and avg volume.
Symbol: MPEGX, Reason: Symbol MPEGX dropped price, min and avg volume.
Symbol: MPFDX, Reason: Symbol MPFDX dropped price, min and avg volume.
Symbol: MPHQX, Reason: Symbol MPHQX dropped price, min and avg volume.
Symbol: MPMNX, Reason: Symbol MPMNX dropped price, min and avg volume.
Symbol: MRFOX, Reason: Symbol MRFOX dropped price, min and avg volume.
Symbol: MRSKX, Reason: Symbol MRSKX dropped price, min and avg volume.
Symbol: MSACX, Reason: Symbol MSACX dropped price, min and avg volume.
Symbol: MSEGX, Reason: Symbol MSEGX dropped price, min and avg volume.
Symbol: MSEQX, Reason: Symbol MSEQX dropped price, min and avg volume.
Symbol: MSFBX, Reason: Symbol MSFBX dropped price, min and avg volume.
Symbol: MSFLX, Reason: Symbol MSFLX dropped price, min and avg volume.
Symbol: MSIQX, Reason: Symbol MSIQX dropped price, min and avg volume.
Symbol: MSMLX, Reason: Symbol MSMLX dropped price, min and avg volume.
Symbol: MSPTX, Reason: Symbol MSPTX dropped price, min and avg volume.
Symbol: MSRFX, Reason: Symbol MSRFX dropped price, min and avg volume.
Symbol: MSSGX, Reason: Symbol MSSGX dropped price, min and avg volume.
Symbol: MSSMX, Reason: Symbol MSSMX dropped price, min and avg volume.
Symbol: MUNDX, Reason: Symbol MUNDX dropped price, min and avg volume.
Symbol: MUTHX, Reason: Symbol MUTHX dropped price, min and avg volume.
Symbol: MVIIX, Reason: Symbol MVIIX dropped price, min and avg volume.
Symbol: MWHYX, Reason: Symbol MWHYX dropped price, min and avg volume.
Symbol: MWTIX, Reason: Symbol MWTIX dropped price, min and avg volume.
Symbol: MXYKX, Reason: Symbol MXYKX dropped price, min and avg volume.
Symbol: MZCIX, Reason: Symbol MZCIX dropped price, min and avg volume.
Symbol: MZCSX, Reason: Symbol MZCSX dropped price, min and avg volume.
Symbol: NALFX, Reason: Symbol NALFX dropped price, min and avg volume.
Symbol: NASDX, Reason: Symbol NASDX dropped price, min and avg volume.
Symbol: NBFCX, Reason: Symbol NBFCX dropped price, min and avg volume.
Symbol: NBPTX, Reason: Symbol NBPTX dropped price, min and avg volume.
Symbol: NBREX, Reason: Symbol NBREX dropped price, min and avg volume.
Symbol: NCBGX, Reason: Symbol NCBGX dropped price, min and avg volume.
Symbol: NCBIX, Reason: Symbol NCBIX dropped price, min and avg volume.
Symbol: NCBVX, Reason: Symbol NCBVX dropped price, min and avg volume.
Symbol: NCGFX, Reason: Symbol NCGFX dropped price, min and avg volume.
Symbol: NCICX, Reason: Symbol NCICX dropped price, min and avg volume.
Symbol: NDASX, Reason: Symbol NDASX dropped price, min and avg volume.
Symbol: NEEGX, Reason: Symbol NEEGX dropped price, min and avg volume.
Symbol: NEIMX, Reason: Symbol NEIMX dropped price, min and avg volume.
Symbol: NEXTX, Reason: Symbol NEXTX dropped price, min and avg volume.
Symbol: NFFFX, Reason: Symbol NFFFX dropped price, min and avg volume.
Symbol: NGUAX, Reason: Symbol NGUAX dropped price, min and avg volume.
Symbol: NLSIX, Reason: Symbol NLSIX dropped price, min and avg volume.
Symbol: NPFFX, Reason: Symbol NPFFX dropped price, min and avg volume.
Symbol: NVSCX, Reason: Symbol NVSCX dropped price, min and avg volume.
Symbol: NYVTX, Reason: Symbol NYVTX dropped price, min and avg volume.
Symbol: OBMCX, Reason: Symbol OBMCX dropped price, min and avg volume.
Symbol: OCMAX, Reason: Symbol OCMAX dropped price, min and avg volume.
Symbol: OCMPX, Reason: Symbol OCMPX dropped price, min and avg volume.
Symbol: OIEIX, Reason: Symbol OIEIX dropped price, min and avg volume.
Symbol: OLGAX, Reason: Symbol OLGAX dropped price, min and avg volume.
Symbol: OSGIX, Reason: Symbol OSGIX dropped price, min and avg volume.
Symbol: OTCIX, Reason: Symbol OTCIX dropped price, min and avg volume.
Symbol: OWACX, Reason: Symbol OWACX dropped price, min and avg volume.
Symbol: OWLSX, Reason: Symbol OWLSX dropped price, min and avg volume.
Symbol: OWMBX, Reason: Symbol OWMBX dropped price, min and avg volume.
Symbol: OWSMX, Reason: Symbol OWSMX dropped price, min and avg volume.
Symbol: PABCX, Reason: Symbol PABCX dropped price, min and avg volume.
Symbol: PAGRX, Reason: Symbol PAGRX dropped price, min and avg volume.
Symbol: PALRX, Reason: Symbol PALRX dropped price, min and avg volume.
Symbol: PBFDX, Reason: Symbol PBFDX dropped price, min and avg volume.
Symbol: PBLAX, Reason: Symbol PBLAX dropped price, min and avg volume.
Symbol: PCIEX, Reason: Symbol PCIEX dropped price, min and avg volume.
Symbol: PDINX, Reason: Symbol PDINX dropped price, min and avg volume.
Symbol: PELAX, Reason: Symbol PELAX dropped price, min and avg volume.
Symbol: PEMGX, Reason: Symbol PEMGX dropped price, min and avg volume.
Symbol: PENNX, Reason: Symbol PENNX dropped price, min and avg volume.
Symbol: PFCOX, Reason: Symbol PFCOX dropped price, min and avg volume.
Symbol: PFDOX, Reason: Symbol PFDOX dropped price, min and avg volume.
Symbol: PFESX, Reason: Symbol PFESX dropped price, min and avg volume.
Symbol: PFGGX, Reason: Symbol PFGGX dropped price, min and avg volume.
Symbol: PFTSX, Reason: Symbol PFTSX dropped price, min and avg volume.
Symbol: PGEOX, Reason: Symbol PGEOX dropped price, min and avg volume.
Symbol: PGGFX, Reason: Symbol PGGFX dropped price, min and avg volume.
Symbol: PGIIX, Reason: Symbol PGIIX dropped price, min and avg volume.
Symbol: PGROX, Reason: Symbol PGROX dropped price, min and avg volume.
Symbol: PGTAX, Reason: Symbol PGTAX dropped price, min and avg volume.
Symbol: PHSIX, Reason: Symbol PHSIX dropped price, min and avg volume.
Symbol: PHYQX, Reason: Symbol PHYQX dropped price, min and avg volume.
Symbol: PIEQX, Reason: Symbol PIEQX dropped price, min and avg volume.
Symbol: PJIAX, Reason: Symbol PJIAX dropped price, min and avg volume.
Symbol: PJIZX, Reason: Symbol PJIZX dropped price, min and avg volume.
Symbol: PJOQX, Reason: Symbol PJOQX dropped price, min and avg volume.
Symbol: PLFDX, Reason: Symbol PLFDX dropped price, min and avg volume.
Symbol: PLFLX, Reason: Symbol PLFLX dropped price, min and avg volume.
Symbol: PLFRX, Reason: Symbol PLFRX dropped price, min and avg volume.
Symbol: PLIDX, Reason: Symbol PLIDX dropped price, min and avg volume.
Symbol: PLIIX, Reason: Symbol PLIIX dropped price, min and avg volume.
Symbol: PMFPX, Reason: Symbol PMFPX dropped price, min and avg volume.
Symbol: PNSAX, Reason: Symbol PNSAX dropped price, min and avg volume.
Symbol: PNYAX, Reason: Symbol PNYAX dropped price, min and avg volume.
Symbol: PNYIX, Reason: Symbol PNYIX dropped price, min and avg volume.
Symbol: POGAX, Reason: Symbol POGAX dropped price, min and avg volume.
Symbol: POIIX, Reason: Symbol POIIX dropped price, min and avg volume.
Symbol: POIRX, Reason: Symbol POIRX dropped price, min and avg volume.
Symbol: POSAX, Reason: Symbol POSAX dropped price, min and avg volume.
Symbol: POVSX, Reason: Symbol POVSX dropped price, min and avg volume.
Symbol: PPRUX, Reason: Symbol PPRUX dropped price, min and avg volume.
Symbol: PPVFX, Reason: Symbol PPVFX dropped price, min and avg volume.
Symbol: PQIAX, Reason: Symbol PQIAX dropped price, min and avg volume.
Symbol: PRAFX, Reason: Symbol PRAFX dropped price, min and avg volume.
Symbol: PRCGX, Reason: Symbol PRCGX dropped price, min and avg volume.
Symbol: PRCNX, Reason: Symbol PRCNX dropped price, min and avg volume.
Symbol: PRCPX, Reason: Symbol PRCPX dropped price, min and avg volume.
Symbol: PRDGX, Reason: Symbol PRDGX dropped price, min and avg volume.
Symbol: PRELX, Reason: Symbol PRELX dropped price, min and avg volume.
Symbol: PRESX, Reason: Symbol PRESX dropped price, min and avg volume.
Symbol: PRFDX, Reason: Symbol PRFDX dropped price, min and avg volume.
Symbol: PRFHX, Reason: Symbol PRFHX dropped price, min and avg volume.
Symbol: PRFRX, Reason: Symbol PRFRX dropped price, min and avg volume.
Symbol: PRFSX, Reason: Symbol PRFSX dropped price, min and avg volume.
Symbol: PRIHX, Reason: Symbol PRIHX dropped price, min and avg volume.
Symbol: PRIJX, Reason: Symbol PRIJX dropped price, min and avg volume.
Symbol: PRIPX, Reason: Symbol PRIPX dropped price, min and avg volume.
Symbol: PRITX, Reason: Symbol PRITX dropped price, min and avg volume.
Symbol: PRJPX, Reason: Symbol PRJPX dropped price, min and avg volume.
Symbol: PRJQX, Reason: Symbol PRJQX dropped price, min and avg volume.
Symbol: PRNYX, Reason: Symbol PRNYX dropped price, min and avg volume.
Symbol: PRPFX, Reason: Symbol PRPFX dropped price, min and avg volume.
Symbol: PRPIX, Reason: Symbol PRPIX dropped price, min and avg volume.
Symbol: PRRAX, Reason: Symbol PRRAX dropped price, min and avg volume.
Symbol: PRREX, Reason: Symbol PRREX dropped price, min and avg volume.
Symbol: PRRSX, Reason: Symbol PRRSX dropped price, min and avg volume.
Symbol: PRSLX, Reason: Symbol PRSLX dropped price, min and avg volume.
Symbol: PRTAX, Reason: Symbol PRTAX dropped price, min and avg volume.
Symbol: PRTBX, Reason: Symbol PRTBX dropped price, min and avg volume.
Symbol: PRTMX, Reason: Symbol PRTMX dropped price, min and avg volume.
Symbol: PRVBX, Reason: Symbol PRVBX dropped price, min and avg volume.
Symbol: PRXCX, Reason: Symbol PRXCX dropped price, min and avg volume.
Symbol: PSAIX, Reason: Symbol PSAIX dropped price, min and avg volume.
Symbol: PSLDX, Reason: Symbol PSLDX dropped price, min and avg volume.
Symbol: PSPAX, Reason: Symbol PSPAX dropped price, min and avg volume.
Symbol: PSSPX, Reason: Symbol PSSPX dropped price, min and avg volume.
Symbol: PWGAX, Reason: Symbol PWGAX dropped price, min and avg volume.
Symbol: PXWEX, Reason: Symbol PXWEX dropped price, min and avg volume.
Symbol: PYEQX, Reason: Symbol PYEQX dropped price, min and avg volume.
Symbol: PYSGX, Reason: Symbol PYSGX dropped price, min and avg volume.
Symbol: QGIAX, Reason: Symbol QGIAX dropped price, min and avg volume.
Symbol: QGRPX, Reason: Symbol QGRPX dropped price, min and avg volume.
Symbol: QIBGX, Reason: Symbol QIBGX dropped price, min and avg volume.
Symbol: QLENX, Reason: Symbol QLENX dropped price, min and avg volume.
Symbol: QREARX, Reason: Symbol QREARX dropped price, min and avg volume.
Symbol: QRSVX, Reason: Symbol QRSVX dropped price, min and avg volume.
Symbol: QUAKX, Reason: Symbol QUAKX dropped price, min and avg volume.
Symbol: QUASX, Reason: Symbol QUASX dropped price, min and avg volume.
Symbol: QUAYX, Reason: Symbol QUAYX dropped price, min and avg volume.
Symbol: QUSOX, Reason: Symbol QUSOX dropped price, min and avg volume.
Symbol: RAFFX, Reason: Symbol RAFFX dropped price, min and avg volume.
Symbol: RAIIX, Reason: Symbol RAIIX dropped price, min and avg volume.
Symbol: RALOX, Reason: Symbol RALOX dropped price, min and avg volume.
Symbol: RBAIX, Reason: Symbol RBAIX dropped price, min and avg volume.
Symbol: RCKTX, Reason: Symbol RCKTX dropped price, min and avg volume.
Symbol: RCT, Reason: Symbol RCT dropped price, min and avg volume.
Symbol: REDWX, Reason: Symbol REDWX dropped price, min and avg volume.
Symbol: REGTX, Reason: Symbol REGTX dropped price, min and avg volume.
Symbol: RERHX, Reason: Symbol RERHX dropped price, min and avg volume.
Symbol: RFFTX, Reason: Symbol RFFTX dropped price, min and avg volume.
Symbol: RFKTX, Reason: Symbol RFKTX dropped price, min and avg volume.
Symbol: RFNCX, Reason: Symbol RFNCX dropped price, min and avg volume.
Symbol: RFUTX, Reason: Symbol RFUTX dropped price, min and avg volume.
Symbol: RHJSX, Reason: Symbol RHJSX dropped price, min and avg volume.
Symbol: RICAX, Reason: Symbol RICAX dropped price, min and avg volume.
Symbol: RICBX, Reason: Symbol RICBX dropped price, min and avg volume.
Symbol: RIRGX, Reason: Symbol RIRGX dropped price, min and avg volume.
Symbol: RISAX, Reason: Symbol RISAX dropped price, min and avg volume.
Symbol: RITGX, Reason: Symbol RITGX dropped price, min and avg volume.
Symbol: RLEMX, Reason: Symbol RLEMX dropped price, min and avg volume.
Symbol: RLITX, Reason: Symbol RLITX dropped price, min and avg volume.
Symbol: RLLGX, Reason: Symbol RLLGX dropped price, min and avg volume.
Symbol: RLSFX, Reason: Symbol RLSFX dropped price, min and avg volume.
Symbol: RLSIX, Reason: Symbol RLSIX dropped price, min and avg volume.
Symbol: RLUEX, Reason: Symbol RLUEX dropped price, min and avg volume.
Symbol: RMVIX, Reason: Symbol RMVIX dropped price, min and avg volume.
Symbol: RNDLX, Reason: Symbol RNDLX dropped price, min and avg volume.
Symbol: RPGAX, Reason: Symbol RPGAX dropped price, min and avg volume.
Symbol: RPGEX, Reason: Symbol RPGEX dropped price, min and avg volume.
Symbol: RPGIX, Reason: Symbol RPGIX dropped price, min and avg volume.
Symbol: RPIBX, Reason: Symbol RPIBX dropped price, min and avg volume.
Symbol: RPIDX, Reason: Symbol RPIDX dropped price, min and avg volume.
Symbol: RPIEX, Reason: Symbol RPIEX dropped price, min and avg volume.
Symbol: RPIHX, Reason: Symbol RPIHX dropped price, min and avg volume.
Symbol: RSLAX, Reason: Symbol RSLAX dropped price, min and avg volume.
Symbol: RWMBX, Reason: Symbol RWMBX dropped price, min and avg volume.
Symbol: RWMFX, Reason: Symbol RWMFX dropped price, min and avg volume.
Symbol: RYAVX, Reason: Symbol RYAVX dropped price, min and avg volume.
Symbol: RYAWX, Reason: Symbol RYAWX dropped price, min and avg volume.
Symbol: RYAZX, Reason: Symbol RYAZX dropped price, min and avg volume.
Symbol: RYBHX, Reason: Symbol RYBHX dropped price, min and avg volume.
Symbol: RYDHX, Reason: Symbol RYDHX dropped price, min and avg volume.
Symbol: RYEIX, Reason: Symbol RYEIX dropped price, min and avg volume.
Symbol: RYFIX, Reason: Symbol RYFIX dropped price, min and avg volume.
Symbol: RYGTX, Reason: Symbol RYGTX dropped price, min and avg volume.
Symbol: RYHBX, Reason: Symbol RYHBX dropped price, min and avg volume.
Symbol: RYHIX, Reason: Symbol RYHIX dropped price, min and avg volume.
Symbol: RYHRX, Reason: Symbol RYHRX dropped price, min and avg volume.
Symbol: RYIIX, Reason: Symbol RYIIX dropped price, min and avg volume.
Symbol: RYKIX, Reason: Symbol RYKIX dropped price, min and avg volume.
Symbol: RYMBX, Reason: Symbol RYMBX dropped price, min and avg volume.
Symbol: RYMIX, Reason: Symbol RYMIX dropped price, min and avg volume.
Symbol: RYMSX, Reason: Symbol RYMSX dropped price, min and avg volume.
Symbol: RYPIX, Reason: Symbol RYPIX dropped price, min and avg volume.
Symbol: RYPMX, Reason: Symbol RYPMX dropped price, min and avg volume.
Symbol: RYRHX, Reason: Symbol RYRHX dropped price, min and avg volume.
Symbol: RYRIX, Reason: Symbol RYRIX dropped price, min and avg volume.
Symbol: RYSIX, Reason: Symbol RYSIX dropped price, min and avg volume.
Symbol: RYSPX, Reason: Symbol RYSPX dropped price, min and avg volume.
Symbol: RYTIX, Reason: Symbol RYTIX dropped price, min and avg volume.
Symbol: RYUIX, Reason: Symbol RYUIX dropped price, min and avg volume.
Symbol: RYVIX, Reason: Symbol RYVIX dropped price, min and avg volume.
Symbol: RYWAX, Reason: Symbol RYWAX dropped price, min and avg volume.
Symbol: RYZAX, Reason: Symbol RYZAX dropped price, min and avg volume.
Symbol: SAISX, Reason: Symbol SAISX dropped price, min and avg volume.
Symbol: SCWFX, Reason: Symbol SCWFX dropped price, min and avg volume.
Symbol: SEQPX, Reason: Symbol SEQPX dropped price, min and avg volume.
Symbol: SEVPX, Reason: Symbol SEVPX dropped price, min and avg volume.
